material,material_type
MAT002261,Material_Type_2
MAT002262,Material_Type_2
MAT002263,Material_Type_2
MAT002264,Material_Type_2
MAT002265,Material_Type_2
MAT002266,Material_Type_2
MAT002267,Material_Type_2
MAT002268,Material_Type_2
MAT002269,Material_Type_1
MAT002270,Material_Type_1
MAT002271,Material_Type_1
MAT002272,Material_Type_2
MAT002273,Material_Type_1
MAT002274,Material_Type_1
MAT002275,Material_Type_2
MAT002276,Material_Type_1
MAT002277,Material_Type_1
MAT002278,Material_Type_2
MAT002279,Material_Type_1
MAT002280,Material_Type_1
MAT002281,Material_Type_2
MAT002282,Material_Type_1
MAT002283,Material_Type_2
MAT002284,Material_Type_1
MAT002285,Material_Type_1
MAT002286,Material_Type_1
MAT002287,Material_Type_2
MAT002288,Material_Type_2
MAT002289,Material_Type_2
MAT002290,Material_Type_2
MAT002291,Material_Type_2
MAT002292,Material_Type_1
MAT002293,Material_Type_1
MAT002294,Material_Type_1
MAT002295,Material_Type_2
MAT002296,Material_Type_2
MAT002297,Material_Type_2
MAT002298,Material_Type_2
MAT002299,Material_Type_2
MAT002300,Material_Type_1
MAT002301,Material_Type_2
MAT002302,Material_Type_2
MAT002303,Material_Type_2
MAT002304,Material_Type_1
MAT002305,Material_Type_1
MAT002306,Material_Type_2
MAT002307,Material_Type_1
MAT002308,Material_Type_1
MAT002309,Material_Type_1
MAT002310,Material_Type_2
MAT002311,Material_Type_2
MAT002312,Material_Type_1
MAT002313,Material_Type_2
MAT002314,Material_Type_1
MAT002315,Material_Type_2
MAT002316,Material_Type_1
MAT002317,Material_Type_2
MAT002318,Material_Type_2
MAT002319,Material_Type_2
MAT002320,Material_Type_2
MAT002321,Material_Type_2
MAT002322,Material_Type_2
MAT002323,Material_Type_1
MAT002324,Material_Type_1
MAT002325,Material_Type_1
MAT002326,Material_Type_1
MAT002327,Material_Type_2
MAT002328,Material_Type_1
MAT002329,Material_Type_1
MAT002330,Material_Type_1
MAT002331,Material_Type_1
MAT002332,Material_Type_1
MAT002333,Material_Type_2
MAT002334,Material_Type_1
MAT002335,Material_Type_2
MAT002336,Material_Type_2
MAT002337,Material_Type_1
MAT002338,Material_Type_1
MAT002339,Material_Type_1
MAT002340,Material_Type_1
MAT002341,Material_Type_1
MAT002342,Material_Type_1
MAT002343,Material_Type_1
MAT002344,Material_Type_1
MAT002345,Material_Type_2
MAT002346,Material_Type_2
MAT002347,Material_Type_2
MAT002348,Material_Type_2
MAT002349,Material_Type_1
MAT002350,Material_Type_2
MAT002351,Material_Type_1
MAT002352,Material_Type_2
MAT002353,Material_Type_1
MAT002354,Material_Type_2
MAT002355,Material_Type_1
MAT002356,Material_Type_1
MAT002357,Material_Type_2
MAT002358,Material_Type_2
MAT002359,Material_Type_1
MAT002360,Material_Type_1
MAT002361,Material_Type_2
MAT002362,Material_Type_1
MAT002363,Material_Type_1
MAT002364,Material_Type_1
MAT002365,Material_Type_2
MAT002366,Material_Type_2
MAT002367,Material_Type_1
MAT002368,Material_Type_2
MAT002369,Material_Type_1
MAT002370,Material_Type_2
MAT002371,Material_Type_2
MAT002372,Material_Type_2
MAT002373,Material_Type_2
MAT002374,Material_Type_1
MAT002375,Material_Type_1
MAT002376,Material_Type_1
MAT002377,Material_Type_2
MAT002378,Material_Type_1
MAT002379,Material_Type_2
MAT002380,Material_Type_2
MAT002381,Material_Type_2
MAT002382,Material_Type_1
MAT002383,Material_Type_2
MAT002384,Material_Type_2
MAT002385,Material_Type_1
MAT002386,Material_Type_1
MAT002387,Material_Type_2
MAT002388,Material_Type_2
MAT002389,Material_Type_1
MAT002390,Material_Type_2
MAT002391,Material_Type_1
MAT002392,Material_Type_1
MAT002393,Material_Type_1
MAT002394,Material_Type_1
MAT002395,Material_Type_1
MAT002396,Material_Type_1
MAT002397,Material_Type_1
MAT002398,Material_Type_2
MAT002399,Material_Type_2
MAT002400,Material_Type_2
MAT002401,Material_Type_2
MAT002402,Material_Type_2
MAT002403,Material_Type_1
MAT002404,Material_Type_2
MAT002405,Material_Type_2
MAT002406,Material_Type_1
MAT002407,Material_Type_1
MAT002408,Material_Type_2
MAT002409,Material_Type_1
MAT002410,Material_Type_2
MAT002411,Material_Type_1
MAT002412,Material_Type_1
MAT002413,Material_Type_2
MAT002414,Material_Type_2
MAT002415,Material_Type_1
MAT002416,Material_Type_1
MAT002417,Material_Type_2
MAT002418,Material_Type_1
MAT002419,Material_Type_2
MAT002420,Material_Type_1
MAT002421,Material_Type_2
MAT002422,Material_Type_2
MAT002423,Material_Type_1
MAT002424,Material_Type_1
MAT002425,Material_Type_1
MAT002426,Material_Type_2
MAT002427,Material_Type_1
MAT002428,Material_Type_1
MAT002429,Material_Type_1
MAT002430,Material_Type_1
MAT002431,Material_Type_1
MAT002432,Material_Type_2
MAT002433,Material_Type_1
MAT002434,Material_Type_1
MAT002435,Material_Type_1
MAT002436,Material_Type_2
MAT002437,Material_Type_2
MAT002438,Material_Type_1
MAT002439,Material_Type_1
MAT002440,Material_Type_1
MAT002441,Material_Type_1
MAT002442,Material_Type_1
MAT002443,Material_Type_1
MAT002444,Material_Type_1
MAT002445,Material_Type_1
MAT002446,Material_Type_1
MAT002447,Material_Type_1
MAT002448,Material_Type_1
MAT002449,Material_Type_2
MAT002450,Material_Type_2
MAT002451,Material_Type_2
MAT002452,Material_Type_2
MAT002453,Material_Type_1
MAT002454,Material_Type_2
MAT002455,Material_Type_2
MAT002456,Material_Type_1
MAT002457,Material_Type_1
MAT002458,Material_Type_2
MAT002459,Material_Type_1
MAT002460,Material_Type_2
MAT002461,Material_Type_1
MAT002462,Material_Type_2
MAT002463,Material_Type_2
MAT002464,Material_Type_1
MAT002465,Material_Type_2
MAT002466,Material_Type_2
MAT002467,Material_Type_1
MAT002468,Material_Type_1
MAT002469,Material_Type_2
MAT002470,Material_Type_2
MAT002471,Material_Type_1
MAT002472,Material_Type_2
MAT002473,Material_Type_1
MAT002474,Material_Type_1
MAT002475,Material_Type_1
MAT002476,Material_Type_2
MAT002477,Material_Type_2
MAT002478,Material_Type_2
MAT002479,Material_Type_1
MAT002480,Material_Type_2
MAT002481,Material_Type_1
MAT002482,Material_Type_1
MAT002483,Material_Type_2
MAT002484,Material_Type_1
MAT002485,Material_Type_1
MAT002486,Material_Type_1
MAT002487,Material_Type_2
MAT002488,Material_Type_1
MAT002489,Material_Type_2
MAT002490,Material_Type_1
MAT002491,Material_Type_1
MAT002492,Material_Type_1
MAT002493,Material_Type_2
MAT002494,Material_Type_2
MAT002495,Material_Type_2
MAT002496,Material_Type_2
MAT002497,Material_Type_1
MAT002498,Material_Type_1
MAT002499,Material_Type_2
MAT002500,Material_Type_2
MAT002501,Material_Type_1
MAT002502,Material_Type_2
MAT002503,Material_Type_1
MAT002504,Material_Type_2
MAT002505,Material_Type_2
MAT002506,Material_Type_2
MAT002507,Material_Type_2
MAT002508,Material_Type_2
MAT002509,Material_Type_2
MAT002510,Material_Type_2
MAT002511,Material_Type_1
MAT002512,Material_Type_2
MAT002513,Material_Type_1
MAT002514,Material_Type_1
MAT002515,Material_Type_1
MAT002516,Material_Type_1
MAT002517,Material_Type_1
MAT002518,Material_Type_2
MAT002519,Material_Type_2
MAT002520,Material_Type_2
MAT002521,Material_Type_2
MAT002522,Material_Type_1
MAT002523,Material_Type_1
MAT002524,Material_Type_1
MAT002525,Material_Type_1
MAT002526,Material_Type_2
MAT002527,Material_Type_2
MAT002528,Material_Type_1
MAT002529,Material_Type_1
MAT002530,Material_Type_1
MAT002531,Material_Type_2
MAT002532,Material_Type_1
MAT002533,Material_Type_2
MAT002534,Material_Type_1
MAT002535,Material_Type_2
MAT002536,Material_Type_1
MAT002537,Material_Type_2
MAT002538,Material_Type_2
MAT002539,Material_Type_2
MAT002540,Material_Type_1
MAT002541,Material_Type_1
MAT002542,Material_Type_1
MAT002543,Material_Type_2
MAT002544,Material_Type_2
MAT002545,Material_Type_1
MAT002546,Material_Type_1
MAT002547,Material_Type_2
MAT002548,Material_Type_2
MAT002549,Material_Type_2
MAT002550,Material_Type_1
MAT002551,Material_Type_2
MAT002552,Material_Type_2
MAT002553,Material_Type_1
MAT002554,Material_Type_1
MAT002555,Material_Type_2
MAT002556,Material_Type_2
MAT002557,Material_Type_2
MAT002558,Material_Type_2
MAT002559,Material_Type_2
MAT002560,Material_Type_2
MAT002561,Material_Type_1
MAT002562,Material_Type_2
MAT002563,Material_Type_1
MAT002564,Material_Type_1
MAT002565,Material_Type_1
MAT002566,Material_Type_2
MAT002567,Material_Type_1
MAT002568,Material_Type_2
MAT002569,Material_Type_1
MAT002570,Material_Type_2
MAT002571,Material_Type_2
MAT002572,Material_Type_1
MAT002573,Material_Type_2
MAT002574,Material_Type_2
MAT002575,Material_Type_2
MAT002576,Material_Type_1
MAT002577,Material_Type_2
MAT002578,Material_Type_2
MAT002579,Material_Type_2
MAT002580,Material_Type_2
MAT002581,Material_Type_2
MAT002582,Material_Type_1
MAT002583,Material_Type_1
MAT002584,Material_Type_1
MAT002585,Material_Type_2
MAT002586,Material_Type_1
MAT002587,Material_Type_1
MAT002588,Material_Type_2
MAT002589,Material_Type_2
MAT002590,Material_Type_2
MAT002591,Material_Type_1
MAT002592,Material_Type_1
MAT002593,Material_Type_2
MAT002594,Material_Type_2
MAT002595,Material_Type_2
MAT002596,Material_Type_2
MAT002597,Material_Type_2
MAT002598,Material_Type_1
MAT002599,Material_Type_2
MAT002600,Material_Type_2
MAT002601,Material_Type_1
MAT002602,Material_Type_2
MAT002603,Material_Type_1
MAT002604,Material_Type_2
MAT002605,Material_Type_1
MAT002606,Material_Type_1
MAT002607,Material_Type_1
MAT002608,Material_Type_1
MAT002609,Material_Type_1
MAT002610,Material_Type_2
MAT002611,Material_Type_1
MAT002612,Material_Type_1
MAT002613,Material_Type_2
MAT002614,Material_Type_2
MAT002615,Material_Type_2
MAT002616,Material_Type_1
MAT002617,Material_Type_1
MAT002618,Material_Type_1
MAT002619,Material_Type_1
MAT002620,Material_Type_1
MAT002621,Material_Type_1
MAT002622,Material_Type_1
MAT002623,Material_Type_2
MAT002624,Material_Type_1
MAT002625,Material_Type_2
MAT002626,Material_Type_1
MAT002627,Material_Type_1
MAT002628,Material_Type_2
MAT002629,Material_Type_1
MAT002630,Material_Type_1
MAT002631,Material_Type_1
MAT002632,Material_Type_2
MAT002633,Material_Type_2
MAT002634,Material_Type_2
MAT002635,Material_Type_2
MAT002636,Material_Type_2
MAT002637,Material_Type_1
MAT002638,Material_Type_2
MAT002639,Material_Type_2
MAT002640,Material_Type_1
MAT002641,Material_Type_1
MAT002642,Material_Type_2
MAT002643,Material_Type_2
MAT002644,Material_Type_1
MAT002645,Material_Type_1
MAT002646,Material_Type_1
MAT002647,Material_Type_1
MAT002648,Material_Type_1
MAT002649,Material_Type_2
MAT002650,Material_Type_1
MAT002651,Material_Type_2
MAT002652,Material_Type_1
MAT002653,Material_Type_1
MAT002654,Material_Type_1
MAT002655,Material_Type_1
MAT002656,Material_Type_2
MAT002657,Material_Type_1
MAT002658,Material_Type_1
MAT002659,Material_Type_2
MAT002660,Material_Type_1
MAT002661,Material_Type_2
MAT002662,Material_Type_2
MAT002663,Material_Type_2
MAT002664,Material_Type_1
MAT002665,Material_Type_2
MAT002666,Material_Type_1
MAT002667,Material_Type_2
MAT002668,Material_Type_2
MAT002669,Material_Type_2
MAT002670,Material_Type_1
MAT002671,Material_Type_2
MAT002672,Material_Type_2
MAT002673,Material_Type_1
MAT002674,Material_Type_2
MAT002675,Material_Type_2
MAT002676,Material_Type_1
MAT002677,Material_Type_1
MAT002678,Material_Type_2
MAT002679,Material_Type_1
MAT002680,Material_Type_1
MAT002681,Material_Type_1
MAT002682,Material_Type_1
MAT002683,Material_Type_1
MAT002684,Material_Type_1
MAT002685,Material_Type_1
MAT002686,Material_Type_2
MAT002687,Material_Type_2
MAT002688,Material_Type_2
MAT002689,Material_Type_1
MAT002690,Material_Type_2
MAT002691,Material_Type_1
MAT002692,Material_Type_1
MAT002693,Material_Type_1
MAT002694,Material_Type_1
MAT002695,Material_Type_1
MAT002696,Material_Type_1
MAT002697,Material_Type_1
MAT002698,Material_Type_1
MAT002699,Material_Type_1
MAT002700,Material_Type_1
MAT002701,Material_Type_1
MAT002702,Material_Type_2
MAT002703,Material_Type_2
MAT002704,Material_Type_1
MAT002705,Material_Type_2
MAT002706,Material_Type_2
MAT002707,Material_Type_1
MAT002708,Material_Type_1
MAT002709,Material_Type_1
MAT002710,Material_Type_2
MAT002711,Material_Type_2
MAT002712,Material_Type_2
MAT002713,Material_Type_2
MAT002714,Material_Type_2
MAT002715,Material_Type_1
MAT002716,Material_Type_1
MAT002717,Material_Type_1
MAT002718,Material_Type_2
MAT002719,Material_Type_2
MAT002720,Material_Type_2
MAT002721,Material_Type_1
MAT002722,Material_Type_1
MAT002723,Material_Type_2
MAT002724,Material_Type_1
MAT002725,Material_Type_1
MAT002726,Material_Type_2
MAT002727,Material_Type_2
MAT002728,Material_Type_2
MAT002729,Material_Type_1
MAT002730,Material_Type_2
MAT002731,Material_Type_1
MAT002732,Material_Type_2
MAT002733,Material_Type_1
MAT002734,Material_Type_2
MAT002735,Material_Type_2
MAT002736,Material_Type_1
MAT002737,Material_Type_2
MAT002738,Material_Type_1
MAT002739,Material_Type_1
MAT002740,Material_Type_1
MAT002741,Material_Type_2
MAT002742,Material_Type_2
MAT002743,Material_Type_2
MAT002744,Material_Type_2
MAT002745,Material_Type_1
MAT002746,Material_Type_1
MAT002747,Material_Type_1
MAT002748,Material_Type_1
MAT002749,Material_Type_1
MAT002750,Material_Type_1
MAT002751,Material_Type_1
MAT002752,Material_Type_2
MAT002753,Material_Type_1
MAT002754,Material_Type_2
MAT002755,Material_Type_1
MAT002756,Material_Type_2
MAT002757,Material_Type_2
MAT002758,Material_Type_2
MAT002759,Material_Type_2
MAT002760,Material_Type_2
MAT002761,Material_Type_1
MAT002762,Material_Type_1
MAT002763,Material_Type_2
MAT002764,Material_Type_2
MAT002765,Material_Type_2
MAT002766,Material_Type_2
MAT002767,Material_Type_2
MAT002768,Material_Type_2
MAT002769,Material_Type_1
MAT002770,Material_Type_1
MAT002771,Material_Type_1
MAT002772,Material_Type_1
MAT002773,Material_Type_1
MAT002774,Material_Type_2
MAT002775,Material_Type_2
MAT002776,Material_Type_2
MAT002777,Material_Type_2
MAT002778,Material_Type_1
MAT002779,Material_Type_1
MAT002780,Material_Type_1
MAT002781,Material_Type_1
MAT002782,Material_Type_2
MAT002783,Material_Type_1
MAT002784,Material_Type_1
MAT002785,Material_Type_2
MAT002786,Material_Type_1
MAT002787,Material_Type_1
MAT002788,Material_Type_2
MAT002789,Material_Type_2
MAT002790,Material_Type_2
MAT002791,Material_Type_1
MAT002792,Material_Type_2
MAT002793,Material_Type_1
MAT002794,Material_Type_2
MAT002795,Material_Type_1
MAT002796,Material_Type_1
MAT002797,Material_Type_1
MAT002798,Material_Type_2
MAT002799,Material_Type_2
MAT002800,Material_Type_2
MAT002801,Material_Type_2
MAT002802,Material_Type_2
MAT002803,Material_Type_2
MAT002804,Material_Type_2
MAT002805,Material_Type_1
MAT002806,Material_Type_1
MAT002807,Material_Type_1
MAT002808,Material_Type_2
MAT002809,Material_Type_2
MAT002810,Material_Type_1
MAT002811,Material_Type_1
MAT002812,Material_Type_1
MAT002813,Material_Type_2
MAT002814,Material_Type_1
MAT002815,Material_Type_2
MAT002816,Material_Type_1
MAT002817,Material_Type_2
MAT002818,Material_Type_1
MAT002819,Material_Type_2
MAT002820,Material_Type_1
MAT002821,Material_Type_2
MAT002822,Material_Type_1
MAT002823,Material_Type_2
MAT002824,Material_Type_2
MAT002825,Material_Type_2
MAT002826,Material_Type_2
MAT002827,Material_Type_1
MAT002828,Material_Type_1
MAT002829,Material_Type_2
MAT002830,Material_Type_2
MAT002831,Material_Type_1
MAT002832,Material_Type_1
MAT002833,Material_Type_2
MAT002834,Material_Type_1
MAT002835,Material_Type_2
MAT002836,Material_Type_2
MAT002837,Material_Type_2
MAT002838,Material_Type_1
MAT002839,Material_Type_1
MAT002840,Material_Type_1
MAT002841,Material_Type_1
MAT002842,Material_Type_2
MAT002843,Material_Type_2
MAT002844,Material_Type_2
MAT002845,Material_Type_1
MAT002846,Material_Type_1
MAT002847,Material_Type_1
MAT002848,Material_Type_2
MAT002849,Material_Type_1
MAT002850,Material_Type_2
MAT002851,Material_Type_2
MAT002852,Material_Type_1
MAT002853,Material_Type_1
MAT002854,Material_Type_2
MAT002855,Material_Type_1
MAT002856,Material_Type_1
MAT002857,Material_Type_1
MAT002858,Material_Type_1
MAT002859,Material_Type_1
MAT002860,Material_Type_1
MAT002861,Material_Type_2
MAT002862,Material_Type_1
MAT002863,Material_Type_2
MAT002864,Material_Type_2
MAT002865,Material_Type_2
MAT002866,Material_Type_1
MAT002867,Material_Type_2
MAT002868,Material_Type_1
MAT002869,Material_Type_1
MAT002870,Material_Type_2
MAT002871,Material_Type_2
MAT002872,Material_Type_2
MAT002873,Material_Type_2
MAT002874,Material_Type_1
MAT002875,Material_Type_2
MAT002876,Material_Type_2
MAT002877,Material_Type_1
MAT002878,Material_Type_1
MAT002879,Material_Type_1
MAT002880,Material_Type_1
MAT002881,Material_Type_2
MAT002882,Material_Type_1
MAT002883,Material_Type_2
MAT002884,Material_Type_2
MAT002885,Material_Type_1
MAT002886,Material_Type_1
MAT002887,Material_Type_1
MAT002888,Material_Type_1
MAT002889,Material_Type_2
MAT002890,Material_Type_2
MAT002891,Material_Type_1
MAT002892,Material_Type_1
MAT002893,Material_Type_2
MAT002894,Material_Type_1
MAT002895,Material_Type_2
MAT002896,Material_Type_2
MAT002897,Material_Type_2
MAT002898,Material_Type_1
MAT002899,Material_Type_2
MAT002900,Material_Type_2
MAT002901,Material_Type_1
MAT002902,Material_Type_2
MAT002903,Material_Type_2
MAT002904,Material_Type_1
MAT002905,Material_Type_2
MAT002906,Material_Type_2
MAT002907,Material_Type_1
MAT002908,Material_Type_2
MAT002909,Material_Type_1
MAT002910,Material_Type_1
MAT002911,Material_Type_2
MAT002912,Material_Type_2
MAT002913,Material_Type_1
MAT002914,Material_Type_1
MAT002915,Material_Type_2
MAT002916,Material_Type_2
MAT002917,Material_Type_1
MAT002918,Material_Type_1
MAT002919,Material_Type_2
MAT002920,Material_Type_2
MAT002921,Material_Type_1
MAT002922,Material_Type_2
MAT002923,Material_Type_2
MAT002924,Material_Type_1
MAT002925,Material_Type_1
MAT002926,Material_Type_1
MAT002927,Material_Type_2
MAT002928,Material_Type_2
MAT002929,Material_Type_2
MAT002930,Material_Type_1
MAT002931,Material_Type_2
MAT002932,Material_Type_1
MAT002933,Material_Type_2
MAT002934,Material_Type_2
MAT002935,Material_Type_2
MAT002936,Material_Type_2
MAT002937,Material_Type_2
MAT002938,Material_Type_1
MAT002939,Material_Type_2
MAT002940,Material_Type_2
MAT002941,Material_Type_2
MAT002942,Material_Type_1
MAT002943,Material_Type_2
MAT002944,Material_Type_2
MAT002945,Material_Type_2
MAT002946,Material_Type_1
MAT002947,Material_Type_2
MAT002948,Material_Type_1
MAT002949,Material_Type_1
MAT002950,Material_Type_2
MAT002951,Material_Type_1
MAT002952,Material_Type_1
MAT002953,Material_Type_2
MAT002954,Material_Type_2
MAT002955,Material_Type_2
MAT002956,Material_Type_1
MAT002957,Material_Type_2
MAT002958,Material_Type_2
MAT002959,Material_Type_2
MAT002960,Material_Type_1
MAT002961,Material_Type_1
MAT002962,Material_Type_2
MAT002963,Material_Type_2
MAT002964,Material_Type_1
MAT002965,Material_Type_1
MAT002966,Material_Type_2
MAT002967,Material_Type_1
MAT002968,Material_Type_1
MAT002969,Material_Type_2
MAT002970,Material_Type_2
MAT002971,Material_Type_2
MAT002972,Material_Type_1
MAT002973,Material_Type_2
MAT002974,Material_Type_2
MAT002975,Material_Type_2
MAT002976,Material_Type_1
MAT002977,Material_Type_1
MAT002978,Material_Type_2
MAT002979,Material_Type_1
MAT002980,Material_Type_2
MAT002981,Material_Type_1
MAT002982,Material_Type_2
MAT002983,Material_Type_1
MAT002984,Material_Type_2
MAT002985,Material_Type_2
MAT002986,Material_Type_1
MAT002987,Material_Type_2
MAT002988,Material_Type_1
MAT002989,Material_Type_2
MAT002990,Material_Type_2
MAT002991,Material_Type_1
MAT002992,Material_Type_2
MAT002993,Material_Type_2
MAT002994,Material_Type_2
MAT002995,Material_Type_2
MAT002996,Material_Type_1
MAT002997,Material_Type_1
MAT002998,Material_Type_2
MAT002999,Material_Type_2
MAT003000,Material_Type_1
MAT003001,Material_Type_1
MAT003002,Material_Type_2
MAT003003,Material_Type_1
MAT003004,Material_Type_1
MAT003005,Material_Type_1
MAT003006,Material_Type_2
MAT003007,Material_Type_2
MAT003008,Material_Type_2
MAT003009,Material_Type_2
MAT003010,Material_Type_2
MAT003011,Material_Type_2
MAT003012,Material_Type_1
MAT003013,Material_Type_1
MAT003014,Material_Type_2
MAT003015,Material_Type_2
MAT003016,Material_Type_2
MAT003017,Material_Type_1
MAT003018,Material_Type_2
MAT003019,Material_Type_2
MAT003020,Material_Type_2
MAT003021,Material_Type_1
MAT003022,Material_Type_1
MAT003023,Material_Type_2
MAT003024,Material_Type_1
MAT003025,Material_Type_1
MAT003026,Material_Type_1
MAT003027,Material_Type_2
MAT003028,Material_Type_2
MAT003029,Material_Type_2
MAT003030,Material_Type_2
MAT003031,Material_Type_1
MAT003032,Material_Type_1
MAT003033,Material_Type_2
MAT003034,Material_Type_1
MAT003035,Material_Type_1
MAT003036,Material_Type_1
MAT003037,Material_Type_2
MAT003038,Material_Type_2
MAT003039,Material_Type_2
MAT003040,Material_Type_1
MAT003041,Material_Type_1
MAT003042,Material_Type_1
MAT003043,Material_Type_2
MAT003044,Material_Type_2
MAT003045,Material_Type_2
MAT003046,Material_Type_2
MAT003047,Material_Type_1
MAT003048,Material_Type_1
MAT003049,Material_Type_2
MAT003050,Material_Type_1
MAT003051,Material_Type_2
MAT003052,Material_Type_1
MAT003053,Material_Type_2
MAT003054,Material_Type_2
MAT003055,Material_Type_2
MAT003056,Material_Type_2
MAT003057,Material_Type_2
MAT003058,Material_Type_1
MAT003059,Material_Type_2
MAT003060,Material_Type_1
MAT003061,Material_Type_2
MAT003062,Material_Type_1
MAT003063,Material_Type_1
MAT003064,Material_Type_1
MAT003065,Material_Type_2
MAT003066,Material_Type_1
MAT003067,Material_Type_1
MAT003068,Material_Type_1
MAT003069,Material_Type_1
MAT003070,Material_Type_2
MAT003071,Material_Type_2
MAT003072,Material_Type_2
MAT003073,Material_Type_1
MAT003074,Material_Type_1
MAT003075,Material_Type_1
MAT003076,Material_Type_2
MAT003077,Material_Type_1
MAT003078,Material_Type_1
MAT003079,Material_Type_1
MAT003080,Material_Type_1
MAT003081,Material_Type_2
MAT003082,Material_Type_1
MAT003083,Material_Type_2
MAT003084,Material_Type_2
MAT003085,Material_Type_2
MAT003086,Material_Type_2
MAT003087,Material_Type_1
MAT003088,Material_Type_2
MAT003089,Material_Type_2
MAT003090,Material_Type_1
MAT003091,Material_Type_1
MAT003092,Material_Type_2
MAT003093,Material_Type_2
MAT003094,Material_Type_1
MAT003095,Material_Type_1
MAT003096,Material_Type_1
MAT003097,Material_Type_2
MAT003098,Material_Type_1
MAT003099,Material_Type_1
MAT003100,Material_Type_2
MAT003101,Material_Type_2
MAT003102,Material_Type_1
MAT003103,Material_Type_2
MAT003104,Material_Type_2
MAT003105,Material_Type_2
MAT003106,Material_Type_2
MAT003107,Material_Type_2
MAT003108,Material_Type_1
MAT003109,Material_Type_1
MAT003110,Material_Type_1
MAT003111,Material_Type_2
MAT003112,Material_Type_1
MAT003113,Material_Type_1
MAT003114,Material_Type_1
MAT003115,Material_Type_2
MAT003116,Material_Type_2
MAT003117,Material_Type_1
MAT003118,Material_Type_1
MAT003119,Material_Type_2
MAT003120,Material_Type_1
MAT003121,Material_Type_2
MAT003122,Material_Type_2
MAT003123,Material_Type_1
MAT003124,Material_Type_1
MAT003125,Material_Type_2
MAT003126,Material_Type_2
MAT003127,Material_Type_1
MAT003128,Material_Type_1
MAT003129,Material_Type_2
MAT003130,Material_Type_2
MAT003131,Material_Type_1
MAT003132,Material_Type_2
MAT003133,Material_Type_1
MAT003134,Material_Type_1
MAT003135,Material_Type_2
MAT003136,Material_Type_1
MAT003137,Material_Type_1
MAT003138,Material_Type_1
MAT003139,Material_Type_2
MAT003140,Material_Type_1
MAT003141,Material_Type_1
MAT003142,Material_Type_2
MAT003143,Material_Type_1
MAT003144,Material_Type_1
MAT003145,Material_Type_2
MAT003146,Material_Type_1
MAT003147,Material_Type_2
MAT003148,Material_Type_1
MAT003149,Material_Type_2
MAT003150,Material_Type_1
MAT003151,Material_Type_2
MAT003152,Material_Type_2
MAT003153,Material_Type_2
MAT003154,Material_Type_1
MAT003155,Material_Type_1
MAT003156,Material_Type_2
MAT003157,Material_Type_1
MAT003158,Material_Type_2
MAT003159,Material_Type_2
MAT003160,Material_Type_1
MAT003161,Material_Type_1
MAT003162,Material_Type_2
MAT003163,Material_Type_1
MAT003164,Material_Type_2
MAT003165,Material_Type_1
MAT003166,Material_Type_1
MAT003167,Material_Type_2
MAT003168,Material_Type_2
MAT003169,Material_Type_2
MAT003170,Material_Type_1
MAT003171,Material_Type_1
MAT003172,Material_Type_2
MAT003173,Material_Type_1
MAT003174,Material_Type_2
MAT003175,Material_Type_1
MAT003176,Material_Type_2
MAT003177,Material_Type_2
MAT003178,Material_Type_1
MAT003179,Material_Type_1
MAT003180,Material_Type_2
MAT003181,Material_Type_2
MAT003182,Material_Type_2
MAT003183,Material_Type_2
MAT003184,Material_Type_1
MAT003185,Material_Type_2
MAT003186,Material_Type_1
MAT003187,Material_Type_2
MAT003188,Material_Type_1
MAT003189,Material_Type_1
MAT003190,Material_Type_1
MAT003191,Material_Type_2
MAT003192,Material_Type_2
MAT003193,Material_Type_2
MAT003194,Material_Type_2
MAT003195,Material_Type_1
MAT003196,Material_Type_1
MAT003197,Material_Type_2
MAT003198,Material_Type_1
MAT003199,Material_Type_2
MAT003200,Material_Type_1
MAT003201,Material_Type_2
MAT003202,Material_Type_1
MAT003203,Material_Type_2
MAT003204,Material_Type_1
MAT003205,Material_Type_2
MAT003206,Material_Type_2
MAT003207,Material_Type_2
MAT003208,Material_Type_2
MAT003209,Material_Type_2
MAT003210,Material_Type_2
MAT003211,Material_Type_2
MAT003212,Material_Type_2
MAT003213,Material_Type_1
MAT003214,Material_Type_1
MAT003215,Material_Type_2
MAT003216,Material_Type_1
MAT003217,Material_Type_1
MAT003218,Material_Type_1
MAT003219,Material_Type_1
MAT003220,Material_Type_1
MAT003221,Material_Type_1
MAT003222,Material_Type_1
MAT003223,Material_Type_1
MAT003224,Material_Type_1
MAT003225,Material_Type_2
MAT003226,Material_Type_2
MAT003227,Material_Type_2
MAT003228,Material_Type_1
MAT003229,Material_Type_1
MAT003230,Material_Type_2
MAT003231,Material_Type_1
MAT003232,Material_Type_1
MAT003233,Material_Type_1
MAT003234,Material_Type_2
MAT003235,Material_Type_1
MAT003236,Material_Type_1
MAT003237,Material_Type_1
MAT003238,Material_Type_2
MAT003239,Material_Type_1
MAT003240,Material_Type_2
MAT003241,Material_Type_1
MAT003242,Material_Type_1
MAT003243,Material_Type_2
MAT003244,Material_Type_2
MAT003245,Material_Type_1
MAT003246,Material_Type_1
MAT003247,Material_Type_2
MAT003248,Material_Type_2
MAT003249,Material_Type_1
MAT003250,Material_Type_2
MAT003251,Material_Type_1
MAT003252,Material_Type_2
MAT003253,Material_Type_2
MAT003254,Material_Type_2
MAT003255,Material_Type_1
MAT003256,Material_Type_1
MAT003257,Material_Type_1
MAT003258,Material_Type_1
MAT003259,Material_Type_2
