MATERIAL,Sourcing_Plant,Sourcing_Vendor
MAT002215,Plant_473,Vendor_992
MAT002216,Plant_476,Vendor_631
MAT002217,Plant_36,Vendor_99
MAT002218,Plant_555,Vendor_391
MAT002219,Plant_671,Vendor_320
MAT002220,Plant_731,Vendor_696
MAT002221,Plant_126,Vendor_111
MAT002222,Plant_191,Vendor_909
MAT002223,Plant_129,Vendor_676
MAT002224,Plant_446,Vendor_814
MAT002225,Plant_401,Vendor_951
MAT002226,Plant_770,Vendor_117
MAT002227,Plant_774,Vendor_882
MAT002228,Plant_266,Vendor_853
MAT002229,Plant_586,Vendor_867
MAT002230,Plant_193,Vendor_648
MAT002231,Plant_455,Vendor_490
MAT002232,Plant_280,Vendor_860
MAT002233,Plant_270,Vendor_183
MAT002234,Plant_482,Vendor_978
MAT002235,Plant_663,Vendor_694
MAT002236,Plant_673,Vendor_460
MAT002237,Plant_662,Vendor_282
MAT002238,Plant_791,Vendor_538
MAT002239,Plant_156,Vendor_452
MAT002240,Plant_479,Vendor_866
MAT002241,Plant_676,Vendor_251
MAT002242,Plant_522,Vendor_225
MAT002243,Plant_575,Vendor_531
MAT002244,Plant_204,Vendor_738
MAT002245,Plant_482,Vendor_637
MAT002246,Plant_488,Vendor_464
MAT002247,Plant_372,Vendor_376
MAT002248,Plant_21,Vendor_88
MAT002249,Plant_206,Vendor_422
MAT002250,Plant_443,Vendor_553
MAT002251,Plant_83,Vendor_668
MAT002252,Plant_234,Vendor_191
MAT002253,Plant_664,Vendor_590
MAT002254,Plant_151,Vendor_979
MAT002255,Plant_796,Vendor_533
MAT002256,Plant_251,Vendor_257
MAT002257,Plant_245,Vendor_920
MAT002258,Plant_243,Vendor_528
MAT002259,Plant_215,Vendor_304
MAT002260,Plant_241,Vendor_409
MAT002261,Plant_533,Vendor_89
MAT002262,Plant_239,Vendor_836
MAT002263,Plant_40,Vendor_496
MAT002264,Plant_675,Vendor_233
MAT002265,Plant_342,Vendor_903
MAT002266,Plant_308,Vendor_631
MAT002267,Plant_612,Vendor_516
MAT002268,Plant_529,Vendor_418
MAT002269,Plant_529,Vendor_288
MAT002270,Plant_474,Vendor_347
MAT002271,Plant_291,Vendor_199
MAT002272,Plant_712,Vendor_573
MAT002273,Plant_619,Vendor_733
MAT002274,Plant_38,Vendor_762
MAT002275,Plant_262,Vendor_586
MAT002276,Plant_500,Vendor_877
MAT002277,Plant_662,Vendor_172
MAT002278,Plant_174,Vendor_527
MAT002279,Plant_222,Vendor_471
MAT002280,Plant_653,Vendor_462
MAT002281,Plant_455,Vendor_938
MAT002282,Plant_695,Vendor_992
MAT002283,Plant_316,Vendor_369
MAT002284,Plant_234,Vendor_468
MAT002285,Plant_250,Vendor_619
MAT002286,Plant_692,Vendor_211
MAT002287,Plant_491,Vendor_97
MAT002288,Plant_738,Vendor_220
MAT002289,Plant_326,Vendor_807
MAT002290,Plant_430,Vendor_399
MAT002291,Plant_641,Vendor_829
MAT002292,Plant_585,Vendor_409
MAT002293,Plant_4,Vendor_800
MAT002294,Plant_132,Vendor_846
MAT002295,Plant_593,Vendor_981
MAT002296,Plant_655,Vendor_507
MAT002297,Plant_90,Vendor_308
MAT002298,Plant_655,Vendor_573
MAT002299,Plant_161,Vendor_831
MAT002300,Plant_140,Vendor_852
MAT002301,Plant_286,Vendor_666
MAT002302,Plant_59,Vendor_607
MAT002303,Plant_389,Vendor_109
MAT002304,Plant_145,Vendor_598
MAT002305,Plant_669,Vendor_242
MAT002306,Plant_592,Vendor_365
MAT002307,Plant_492,Vendor_307
MAT002308,Plant_719,Vendor_406
MAT002309,Plant_78,Vendor_290
MAT002310,Plant_283,Vendor_233
MAT002311,Plant_427,Vendor_221
MAT002312,Plant_155,Vendor_965
MAT002313,Plant_728,Vendor_789
MAT002314,Plant_705,Vendor_232
MAT002315,Plant_298,Vendor_21
MAT002316,Plant_466,Vendor_240
MAT002317,Plant_260,Vendor_266
MAT002318,Plant_201,Vendor_929
MAT002319,Plant_326,Vendor_559
MAT002320,Plant_675,Vendor_353
MAT002321,Plant_175,Vendor_615
MAT002322,Plant_379,Vendor_130
MAT002323,Plant_160,Vendor_745
MAT002324,Plant_325,Vendor_205
MAT002325,Plant_232,Vendor_585
MAT002326,Plant_160,Vendor_61
MAT002327,Plant_775,Vendor_245
MAT002328,Plant_268,Vendor_110
MAT002329,Plant_453,Vendor_360
MAT002330,Plant_588,Vendor_600
MAT002331,Plant_346,Vendor_648
MAT002332,Plant_602,Vendor_181
MAT002333,Plant_765,Vendor_152
MAT002334,Plant_458,Vendor_395
MAT002335,Plant_91,Vendor_317
MAT002336,Plant_662,Vendor_907
MAT002337,Plant_204,Vendor_749
MAT002338,Plant_432,Vendor_707
MAT002339,Plant_448,Vendor_675
MAT002340,Plant_694,Vendor_96
MAT002341,Plant_773,Vendor_177
MAT002342,Plant_59,Vendor_197
MAT002343,Plant_40,Vendor_701
MAT002344,Plant_766,Vendor_586
MAT002345,Plant_87,Vendor_5
MAT002346,Plant_677,Vendor_658
MAT002347,Plant_214,Vendor_220
MAT002348,Plant_526,Vendor_429
MAT002349,Plant_721,Vendor_330
MAT002350,Plant_759,Vendor_326
MAT002351,Plant_456,Vendor_818
MAT002352,Plant_75,Vendor_957
MAT002353,Plant_669,Vendor_650
MAT002354,Plant_536,Vendor_628
MAT002355,Plant_6,Vendor_580
MAT002356,Plant_254,Vendor_522
MAT002357,Plant_589,Vendor_139
MAT002358,Plant_210,Vendor_698
MAT002359,Plant_138,Vendor_621
MAT002360,Plant_309,Vendor_139
MAT002361,Plant_508,Vendor_636
MAT002362,Plant_525,Vendor_849
MAT002363,Plant_502,Vendor_484
MAT002364,Plant_711,Vendor_219
MAT002365,Plant_748,Vendor_985
MAT002366,Plant_540,Vendor_36
MAT002367,Plant_217,Vendor_774
MAT002368,Plant_269,Vendor_623
MAT002369,Plant_333,Vendor_346
MAT002370,Plant_450,Vendor_127
MAT002371,Plant_520,Vendor_765
MAT002372,Plant_270,Vendor_155
MAT002373,Plant_739,Vendor_573
MAT002374,Plant_357,Vendor_319
MAT002375,Plant_172,Vendor_26
MAT002376,Plant_714,Vendor_54
MAT002377,Plant_397,Vendor_423
MAT002378,Plant_619,Vendor_945
MAT002379,Plant_300,Vendor_987
MAT002380,Plant_299,Vendor_434
MAT002381,Plant_742,Vendor_256
MAT002382,Plant_119,Vendor_269
MAT002383,Plant_680,Vendor_998
MAT002384,Plant_280,Vendor_578
MAT002385,Plant_129,Vendor_117
MAT002386,Plant_593,Vendor_741
MAT002387,Plant_21,Vendor_203
MAT002388,Plant_109,Vendor_210
MAT002389,Plant_292,Vendor_69
MAT002390,Plant_53,Vendor_52
MAT002391,Plant_397,Vendor_161
MAT002392,Plant_419,Vendor_989
MAT002393,Plant_772,Vendor_462
MAT002394,Plant_461,Vendor_963
MAT002395,Plant_1,Vendor_307
MAT002396,Plant_476,Vendor_204
MAT002397,Plant_240,Vendor_766
MAT002398,Plant_248,Vendor_91
MAT002399,Plant_433,Vendor_520
MAT002400,Plant_297,Vendor_796
MAT002401,Plant_310,Vendor_629
MAT002402,Plant_348,Vendor_39
MAT002403,Plant_763,Vendor_336
MAT002404,Plant_345,Vendor_730
MAT002405,Plant_49,Vendor_175
MAT002406,Plant_607,Vendor_54
MAT002407,Plant_541,Vendor_293
MAT002408,Plant_798,Vendor_357
MAT002409,Plant_114,Vendor_577
MAT002410,Plant_270,Vendor_279
MAT002411,Plant_586,Vendor_180
MAT002412,Plant_37,Vendor_344
MAT002413,Plant_362,Vendor_136
MAT002414,Plant_573,Vendor_515
MAT002415,Plant_289,Vendor_675
MAT002416,Plant_154,Vendor_203
MAT002417,Plant_177,Vendor_411
MAT002418,Plant_446,Vendor_8
MAT002419,Plant_667,Vendor_34
MAT002420,Plant_722,Vendor_191
MAT002421,Plant_135,Vendor_350
MAT002422,Plant_541,Vendor_919
MAT002423,Plant_213,Vendor_93
MAT002424,Plant_533,Vendor_809
MAT002425,Plant_496,Vendor_833
MAT002426,Plant_639,Vendor_831
MAT002427,Plant_549,Vendor_647
MAT002428,Plant_27,Vendor_316
MAT002429,Plant_796,Vendor_795
MAT002430,Plant_71,Vendor_665
MAT002431,Plant_172,Vendor_788
MAT002432,Plant_181,Vendor_479
MAT002433,Plant_360,Vendor_225
MAT002434,Plant_88,Vendor_414
MAT002435,Plant_14,Vendor_972
MAT002436,Plant_378,Vendor_628
MAT002437,Plant_666,Vendor_788
MAT002438,Plant_653,Vendor_116
MAT002439,Plant_671,Vendor_507
MAT002440,Plant_259,Vendor_307
MAT002441,Plant_220,Vendor_299
MAT002442,Plant_705,Vendor_160
MAT002443,Plant_252,Vendor_368
MAT002444,Plant_771,Vendor_167
MAT002445,Plant_630,Vendor_579
MAT002446,Plant_186,Vendor_665
MAT002447,Plant_783,Vendor_704
MAT002448,Plant_120,Vendor_227
MAT002449,Plant_167,Vendor_695
MAT002450,Plant_88,Vendor_928
MAT002451,Plant_463,Vendor_782
MAT002452,Plant_291,Vendor_575
MAT002453,Plant_549,Vendor_815
MAT002454,Plant_366,Vendor_921
MAT002455,Plant_738,Vendor_292
MAT002456,Plant_137,Vendor_875
MAT002457,Plant_523,Vendor_873
MAT002458,Plant_327,Vendor_244
MAT002459,Plant_776,Vendor_775
MAT002460,Plant_223,Vendor_946
MAT002461,Plant_46,Vendor_784
MAT002462,Plant_521,Vendor_867
MAT002463,Plant_288,Vendor_886
MAT002464,Plant_190,Vendor_737
MAT002465,Plant_236,Vendor_593
MAT002466,Plant_536,Vendor_569
MAT002467,Plant_70,Vendor_885
MAT002468,Plant_601,Vendor_635
MAT002469,Plant_205,Vendor_191
MAT002470,Plant_748,Vendor_139
MAT002471,Plant_418,Vendor_93
MAT002472,Plant_470,Vendor_697
MAT002473,Plant_458,Vendor_930
MAT002474,Plant_466,Vendor_905
MAT002475,Plant_417,Vendor_174
MAT002476,Plant_578,Vendor_883
MAT002477,Plant_409,Vendor_271
MAT002478,Plant_218,Vendor_379
MAT002479,Plant_156,Vendor_592
MAT002480,Plant_770,Vendor_346
MAT002481,Plant_71,Vendor_15
MAT002482,Plant_435,Vendor_187
MAT002483,Plant_312,Vendor_276
MAT002484,Plant_745,Vendor_487
MAT002485,Plant_70,Vendor_397
MAT002486,Plant_47,Vendor_185
MAT002487,Plant_193,Vendor_71
MAT002488,Plant_17,Vendor_689
MAT002489,Plant_54,Vendor_258
MAT002490,Plant_232,Vendor_493
MAT002491,Plant_765,Vendor_548
MAT002492,Plant_667,Vendor_30
MAT002493,Plant_104,Vendor_98
MAT002494,Plant_735,Vendor_749
MAT002495,Plant_697,Vendor_69
MAT002496,Plant_747,Vendor_694
MAT002497,Plant_310,Vendor_856
MAT002498,Plant_19,Vendor_330
MAT002499,Plant_307,Vendor_620
MAT002500,Plant_424,Vendor_408
MAT002501,Plant_327,Vendor_848
MAT002502,Plant_175,Vendor_222
MAT002503,Plant_259,Vendor_584
MAT002504,Plant_446,Vendor_32
MAT002505,Plant_499,Vendor_456
MAT002506,Plant_402,Vendor_965
MAT002507,Plant_697,Vendor_43
MAT002508,Plant_664,Vendor_350
MAT002509,Plant_318,Vendor_377
MAT002510,Plant_447,Vendor_570
MAT002511,Plant_172,Vendor_600
MAT002512,Plant_346,Vendor_320
MAT002513,Plant_716,Vendor_649
MAT002514,Plant_239,Vendor_283
MAT002515,Plant_490,Vendor_26
MAT002516,Plant_188,Vendor_277
MAT002517,Plant_402,Vendor_854
MAT002518,Plant_374,Vendor_203
MAT002519,Plant_1,Vendor_378
MAT002520,Plant_90,Vendor_808
MAT002521,Plant_683,Vendor_673
MAT002522,Plant_735,Vendor_81
MAT002523,Plant_674,Vendor_266
MAT002524,Plant_301,Vendor_519
MAT002525,Plant_228,Vendor_865
MAT002526,Plant_586,Vendor_299
MAT002527,Plant_682,Vendor_850
MAT002528,Plant_458,Vendor_471
MAT002529,Plant_295,Vendor_51
MAT002530,Plant_212,Vendor_683
MAT002531,Plant_529,Vendor_356
MAT002532,Plant_246,Vendor_389
MAT002533,Plant_275,Vendor_426
MAT002534,Plant_364,Vendor_654
MAT002535,Plant_575,Vendor_914
MAT002536,Plant_375,Vendor_684
MAT002537,Plant_61,Vendor_403
MAT002538,Plant_132,Vendor_66
MAT002539,Plant_396,Vendor_965
MAT002540,Plant_148,Vendor_500
MAT002541,Plant_152,Vendor_262
MAT002542,Plant_495,Vendor_965
MAT002543,Plant_533,Vendor_449
MAT002544,Plant_681,Vendor_632
MAT002545,Plant_401,Vendor_663
MAT002546,Plant_356,Vendor_886
MAT002547,Plant_118,Vendor_167
MAT002548,Plant_347,Vendor_689
MAT002549,Plant_491,Vendor_232
MAT002550,Plant_659,Vendor_777
MAT002551,Plant_559,Vendor_127
MAT002552,Plant_13,Vendor_652
MAT002553,Plant_179,Vendor_966
MAT002554,Plant_130,Vendor_990
MAT002555,Plant_274,Vendor_493
MAT002556,Plant_101,Vendor_38
MAT002557,Plant_384,Vendor_397
MAT002558,Plant_186,Vendor_731
MAT002559,Plant_703,Vendor_860
MAT002560,Plant_162,Vendor_381
MAT002561,Plant_654,Vendor_314
MAT002562,Plant_31,Vendor_263
MAT002563,Plant_397,Vendor_196
MAT002564,Plant_698,Vendor_181
MAT002565,Plant_650,Vendor_780
MAT002566,Plant_789,Vendor_165
MAT002567,Plant_387,Vendor_127
MAT002568,Plant_143,Vendor_78
MAT002569,Plant_301,Vendor_591
MAT002570,Plant_602,Vendor_920
MAT002571,Plant_637,Vendor_89
MAT002572,Plant_500,Vendor_264
MAT002573,Plant_215,Vendor_111
MAT002574,Plant_449,Vendor_243
MAT002575,Plant_502,Vendor_777
MAT002576,Plant_771,Vendor_54
MAT002577,Plant_710,Vendor_206
MAT002578,Plant_666,Vendor_904
MAT002579,Plant_332,Vendor_424
MAT002580,Plant_63,Vendor_105
MAT002581,Plant_102,Vendor_132
MAT002582,Plant_363,Vendor_236
MAT002583,Plant_765,Vendor_48
MAT002584,Plant_401,Vendor_888
MAT002585,Plant_216,Vendor_983
MAT002586,Plant_399,Vendor_969
MAT002587,Plant_554,Vendor_577
MAT002588,Plant_295,Vendor_252
MAT002589,Plant_644,Vendor_242
MAT002590,Plant_192,Vendor_210
MAT002591,Plant_275,Vendor_752
MAT002592,Plant_650,Vendor_621
MAT002593,Plant_792,Vendor_499
MAT002594,Plant_184,Vendor_828
MAT002595,Plant_263,Vendor_746
MAT002596,Plant_720,Vendor_536
MAT002597,Plant_102,Vendor_760
MAT002598,Plant_106,Vendor_840
MAT002599,Plant_47,Vendor_476
MAT002600,Plant_163,Vendor_148
MAT002601,Plant_350,Vendor_757
MAT002602,Plant_732,Vendor_630
MAT002603,Plant_800,Vendor_460
MAT002604,Plant_480,Vendor_647
MAT002605,Plant_730,Vendor_27
MAT002606,Plant_541,Vendor_539
MAT002607,Plant_377,Vendor_692
MAT002608,Plant_167,Vendor_148
MAT002609,Plant_53,Vendor_912
MAT002610,Plant_629,Vendor_519
MAT002611,Plant_320,Vendor_594
MAT002612,Plant_185,Vendor_4
MAT002613,Plant_788,Vendor_653
MAT002614,Plant_642,Vendor_482
MAT002615,Plant_553,Vendor_14
MAT002616,Plant_441,Vendor_89
MAT002617,Plant_212,Vendor_861
MAT002618,Plant_1,Vendor_935
MAT002619,Plant_701,Vendor_17
MAT002620,Plant_486,Vendor_78
MAT002621,Plant_510,Vendor_893
MAT002622,Plant_158,Vendor_140
MAT002623,Plant_148,Vendor_35
MAT002624,Plant_209,Vendor_197
MAT002625,Plant_357,Vendor_408
MAT002626,Plant_724,Vendor_41
MAT002627,Plant_666,Vendor_297
MAT002628,Plant_289,Vendor_287
MAT002629,Plant_30,Vendor_808
MAT002630,Plant_729,Vendor_557
MAT002631,Plant_90,Vendor_84
MAT002632,Plant_177,Vendor_280
MAT002633,Plant_178,Vendor_984
MAT002634,Plant_443,Vendor_401
MAT002635,Plant_331,Vendor_765
MAT002636,Plant_185,Vendor_507
MAT002637,Plant_345,Vendor_546
MAT002638,Plant_267,Vendor_932
MAT002639,Plant_134,Vendor_169
MAT002640,Plant_443,Vendor_820
MAT002641,Plant_502,Vendor_907
MAT002642,Plant_311,Vendor_66
MAT002643,Plant_239,Vendor_383
MAT002644,Plant_584,Vendor_8
MAT002645,Plant_188,Vendor_409
MAT002646,Plant_616,Vendor_36
MAT002647,Plant_383,Vendor_271
MAT002648,Plant_271,Vendor_273
MAT002649,Plant_173,Vendor_980
MAT002650,Plant_682,Vendor_839
MAT002651,Plant_399,Vendor_647
MAT002652,Plant_2,Vendor_240
MAT002653,Plant_85,Vendor_809
MAT002654,Plant_776,Vendor_165
MAT002655,Plant_739,Vendor_960
MAT002656,Plant_525,Vendor_559
MAT002657,Plant_90,Vendor_718
MAT002658,Plant_609,Vendor_612
MAT002659,Plant_567,Vendor_728
MAT002660,Plant_615,Vendor_466
MAT002661,Plant_792,Vendor_14
MAT002662,Plant_65,Vendor_992
MAT002663,Plant_724,Vendor_521
MAT002664,Plant_71,Vendor_115
MAT002665,Plant_533,Vendor_358
MAT002666,Plant_583,Vendor_476
MAT002667,Plant_162,Vendor_543
MAT002668,Plant_604,Vendor_459
MAT002669,Plant_156,Vendor_599
MAT002670,Plant_133,Vendor_362
MAT002671,Plant_589,Vendor_496
MAT002672,Plant_447,Vendor_862
MAT002673,Plant_133,Vendor_582
MAT002674,Plant_321,Vendor_979
MAT002675,Plant_631,Vendor_137
MAT002676,Plant_106,Vendor_884
MAT002677,Plant_491,Vendor_148
MAT002678,Plant_687,Vendor_875
MAT002679,Plant_266,Vendor_242
MAT002680,Plant_310,Vendor_445
MAT002681,Plant_680,Vendor_664
MAT002682,Plant_503,Vendor_311
MAT002683,Plant_725,Vendor_772
MAT002684,Plant_477,Vendor_755
MAT002685,Plant_798,Vendor_141
MAT002686,Plant_729,Vendor_48
MAT002687,Plant_538,Vendor_917
MAT002688,Plant_109,Vendor_787
MAT002689,Plant_684,Vendor_703
MAT002690,Plant_166,Vendor_56
MAT002691,Plant_61,Vendor_820
MAT002692,Plant_633,Vendor_448
MAT002693,Plant_423,Vendor_578
MAT002694,Plant_625,Vendor_992
MAT002695,Plant_52,Vendor_582
MAT002696,Plant_331,Vendor_982
MAT002697,Plant_425,Vendor_939
MAT002698,Plant_188,Vendor_927
MAT002699,Plant_290,Vendor_353
MAT002700,Plant_400,Vendor_725
MAT002701,Plant_325,Vendor_170
MAT002702,Plant_141,Vendor_772
MAT002703,Plant_691,Vendor_792
MAT002704,Plant_80,Vendor_859
MAT002705,Plant_719,Vendor_477
MAT002706,Plant_211,Vendor_626
MAT002707,Plant_6,Vendor_445
MAT002708,Plant_619,Vendor_319
MAT002709,Plant_341,Vendor_262
MAT002710,Plant_241,Vendor_143
MAT002711,Plant_689,Vendor_520
MAT002712,Plant_43,Vendor_132
MAT002713,Plant_363,Vendor_904
MAT002714,Plant_685,Vendor_127
MAT002715,Plant_588,Vendor_988
MAT002716,Plant_603,Vendor_777
MAT002717,Plant_759,Vendor_473
MAT002718,Plant_489,Vendor_530
MAT002719,Plant_433,Vendor_69
MAT002720,Plant_24,Vendor_127
MAT002721,Plant_383,Vendor_256
MAT002722,Plant_80,Vendor_334
MAT002723,Plant_84,Vendor_414
MAT002724,Plant_757,Vendor_866
MAT002725,Plant_82,Vendor_926
MAT002726,Plant_462,Vendor_410
MAT002727,Plant_306,Vendor_363
MAT002728,Plant_13,Vendor_711
MAT002729,Plant_668,Vendor_563
MAT002730,Plant_144,Vendor_315
MAT002731,Plant_451,Vendor_498
MAT002732,Plant_12,Vendor_347
MAT002733,Plant_600,Vendor_215
MAT002734,Plant_538,Vendor_37
MAT002735,Plant_572,Vendor_832
MAT002736,Plant_722,Vendor_391
MAT002737,Plant_598,Vendor_494
MAT002738,Plant_554,Vendor_156
MAT002739,Plant_347,Vendor_450
MAT002740,Plant_657,Vendor_198
MAT002741,Plant_2,Vendor_843
MAT002742,Plant_481,Vendor_515
MAT002743,Plant_772,Vendor_493
MAT002744,Plant_385,Vendor_404
MAT002745,Plant_513,Vendor_18
MAT002746,Plant_652,Vendor_192
MAT002747,Plant_217,Vendor_188
MAT002748,Plant_509,Vendor_634
MAT002749,Plant_602,Vendor_718
MAT002750,Plant_71,Vendor_554
MAT002751,Plant_382,Vendor_47
MAT002752,Plant_673,Vendor_311
MAT002753,Plant_539,Vendor_528
MAT002754,Plant_11,Vendor_306
MAT002755,Plant_650,Vendor_978
MAT002756,Plant_58,Vendor_767
MAT002757,Plant_300,Vendor_182
MAT002758,Plant_653,Vendor_674
MAT002759,Plant_183,Vendor_79
MAT002760,Plant_289,Vendor_331
MAT002761,Plant_735,Vendor_766
MAT002762,Plant_744,Vendor_890
MAT002763,Plant_359,Vendor_867
MAT002764,Plant_393,Vendor_877
MAT002765,Plant_321,Vendor_358
MAT002766,Plant_706,Vendor_518
MAT002767,Plant_581,Vendor_240
MAT002768,Plant_359,Vendor_405
MAT002769,Plant_632,Vendor_87
MAT002770,Plant_253,Vendor_847
MAT002771,Plant_361,Vendor_140
MAT002772,Plant_784,Vendor_612
MAT002773,Plant_19,Vendor_388
MAT002774,Plant_328,Vendor_36
MAT002775,Plant_663,Vendor_964
MAT002776,Plant_118,Vendor_261
MAT002777,Plant_609,Vendor_675
MAT002778,Plant_369,Vendor_761
MAT002779,Plant_422,Vendor_454
MAT002780,Plant_58,Vendor_584
MAT002781,Plant_617,Vendor_741
MAT002782,Plant_131,Vendor_292
MAT002783,Plant_377,Vendor_997
MAT002784,Plant_405,Vendor_49
MAT002785,Plant_241,Vendor_840
MAT002786,Plant_273,Vendor_87
MAT002787,Plant_130,Vendor_904
MAT002788,Plant_415,Vendor_252
MAT002789,Plant_230,Vendor_28
MAT002790,Plant_43,Vendor_796
MAT002791,Plant_742,Vendor_669
MAT002792,Plant_659,Vendor_158
MAT002793,Plant_219,Vendor_508
MAT002794,Plant_340,Vendor_107
MAT002795,Plant_218,Vendor_359
MAT002796,Plant_445,Vendor_308
MAT002797,Plant_553,Vendor_959
MAT002798,Plant_741,Vendor_433
MAT002799,Plant_349,Vendor_484
MAT002800,Plant_473,Vendor_572
MAT002801,Plant_748,Vendor_625
MAT002802,Plant_780,Vendor_951
MAT002803,Plant_738,Vendor_390
MAT002804,Plant_666,Vendor_924
MAT002805,Plant_681,Vendor_805
MAT002806,Plant_797,Vendor_77
MAT002807,Plant_345,Vendor_322
MAT002808,Plant_657,Vendor_495
MAT002809,Plant_571,Vendor_730
MAT002810,Plant_351,Vendor_335
MAT002811,Plant_301,Vendor_151
MAT002812,Plant_497,Vendor_704
MAT002813,Plant_413,Vendor_307
MAT002814,Plant_211,Vendor_668
MAT002815,Plant_658,Vendor_124
MAT002816,Plant_636,Vendor_136
MAT002817,Plant_671,Vendor_806
MAT002818,Plant_539,Vendor_452
MAT002819,Plant_438,Vendor_818
MAT002820,Plant_516,Vendor_234
MAT002821,Plant_332,Vendor_227
MAT002822,Plant_232,Vendor_332
MAT002823,Plant_550,Vendor_690
MAT002824,Plant_341,Vendor_336
MAT002825,Plant_164,Vendor_79
MAT002826,Plant_512,Vendor_804
MAT002827,Plant_167,Vendor_913
MAT002828,Plant_110,Vendor_775
MAT002829,Plant_494,Vendor_153
MAT002830,Plant_159,Vendor_640
MAT002831,Plant_203,Vendor_16
MAT002832,Plant_686,Vendor_196
MAT002833,Plant_300,Vendor_126
MAT002834,Plant_289,Vendor_709
MAT002835,Plant_766,Vendor_54
MAT002836,Plant_420,Vendor_848
MAT002837,Plant_462,Vendor_741
MAT002838,Plant_788,Vendor_696
MAT002839,Plant_74,Vendor_291
MAT002840,Plant_441,Vendor_12
MAT002841,Plant_627,Vendor_982
MAT002842,Plant_20,Vendor_905
MAT002843,Plant_441,Vendor_117
MAT002844,Plant_621,Vendor_119
MAT002845,Plant_654,Vendor_457
MAT002846,Plant_110,Vendor_800
MAT002847,Plant_760,Vendor_74
MAT002848,Plant_244,Vendor_941
MAT002849,Plant_694,Vendor_195
MAT002850,Plant_361,Vendor_257
MAT002851,Plant_113,Vendor_931
MAT002852,Plant_133,Vendor_828
MAT002853,Plant_613,Vendor_768
MAT002854,Plant_87,Vendor_40
MAT002855,Plant_428,Vendor_213
MAT002856,Plant_705,Vendor_6
MAT002857,Plant_63,Vendor_890
MAT002858,Plant_462,Vendor_300
MAT002859,Plant_58,Vendor_38
MAT002860,Plant_350,Vendor_201
MAT002861,Plant_48,Vendor_928
MAT002862,Plant_190,Vendor_422
MAT002863,Plant_202,Vendor_825
MAT002864,Plant_792,Vendor_747
MAT002865,Plant_375,Vendor_277
MAT002866,Plant_599,Vendor_642
MAT002867,Plant_143,Vendor_158
MAT002868,Plant_121,Vendor_243
MAT002869,Plant_523,Vendor_346
MAT002870,Plant_246,Vendor_387
MAT002871,Plant_271,Vendor_550
MAT002872,Plant_267,Vendor_230
MAT002873,Plant_774,Vendor_303
MAT002874,Plant_496,Vendor_388
MAT002875,Plant_411,Vendor_407
MAT002876,Plant_325,Vendor_572
MAT002877,Plant_34,Vendor_869
MAT002878,Plant_757,Vendor_483
MAT002879,Plant_135,Vendor_178
MAT002880,Plant_452,Vendor_436
MAT002881,Plant_332,Vendor_722
MAT002882,Plant_774,Vendor_758
MAT002883,Plant_661,Vendor_167
MAT002884,Plant_733,Vendor_246
MAT002885,Plant_278,Vendor_261
MAT002886,Plant_211,Vendor_845
MAT002887,Plant_711,Vendor_672
MAT002888,Plant_219,Vendor_984
MAT002889,Plant_520,Vendor_941
MAT002890,Plant_779,Vendor_796
MAT002891,Plant_113,Vendor_840
MAT002892,Plant_467,Vendor_288
MAT002893,Plant_474,Vendor_789
MAT002894,Plant_505,Vendor_582
MAT002895,Plant_769,Vendor_559
MAT002896,Plant_279,Vendor_637
MAT002897,Plant_346,Vendor_588
MAT002898,Plant_79,Vendor_531
MAT002899,Plant_155,Vendor_846
MAT002900,Plant_268,Vendor_644
MAT002901,Plant_29,Vendor_873
MAT002902,Plant_361,Vendor_573
MAT002903,Plant_252,Vendor_467
MAT002904,Plant_723,Vendor_231
MAT002905,Plant_11,Vendor_526
MAT002906,Plant_234,Vendor_984
MAT002907,Plant_629,Vendor_738
MAT002908,Plant_324,Vendor_934
MAT002909,Plant_8,Vendor_938
MAT002910,Plant_543,Vendor_959
MAT002911,Plant_581,Vendor_836
MAT002912,Plant_471,Vendor_344
MAT002913,Plant_566,Vendor_387
MAT002914,Plant_317,Vendor_755
MAT002915,Plant_542,Vendor_563
MAT002916,Plant_771,Vendor_544
MAT002917,Plant_218,Vendor_156
MAT002918,Plant_647,Vendor_832
MAT002919,Plant_360,Vendor_277
MAT002920,Plant_58,Vendor_182
MAT002921,Plant_385,Vendor_806
MAT002922,Plant_519,Vendor_785
MAT002923,Plant_447,Vendor_820
MAT002924,Plant_9,Vendor_456
MAT002925,Plant_287,Vendor_155
MAT002926,Plant_463,Vendor_470
MAT002927,Plant_364,Vendor_979
MAT002928,Plant_764,Vendor_471
MAT002929,Plant_618,Vendor_671
MAT002930,Plant_128,Vendor_679
MAT002931,Plant_400,Vendor_980
MAT002932,Plant_797,Vendor_919
MAT002933,Plant_297,Vendor_873
MAT002934,Plant_720,Vendor_893
MAT002935,Plant_585,Vendor_593
MAT002936,Plant_577,Vendor_578
MAT002937,Plant_11,Vendor_853
MAT002938,Plant_527,Vendor_859
MAT002939,Plant_151,Vendor_867
MAT002940,Plant_387,Vendor_82
MAT002941,Plant_715,Vendor_352
MAT002942,Plant_21,Vendor_312
MAT002943,Plant_156,Vendor_903
MAT002944,Plant_448,Vendor_50
MAT002945,Plant_54,Vendor_964
MAT002946,Plant_741,Vendor_228
MAT002947,Plant_268,Vendor_252
MAT002948,Plant_330,Vendor_743
MAT002949,Plant_190,Vendor_873
